image,race_scores,obese_scores
284.png,"[9.9780709e-01 2.6647163e-07 1.8178685e-05 4.9649088e-07 1.0821251e-06
 2.2197428e-06 2.1707730e-03]","[0.34431755542755127, 0.6553601026535034, 0.0003223613020963967]"
285.png,"[2.2448045e-03 6.6453700e-05 7.5792684e-03 8.6134928e-01 1.2735723e-01
 1.3438197e-04 1.2685492e-03]","[0.02074955776333809, 0.9787888526916504, 0.00046157080214470625]"
286.png,"[6.41955733e-01 9.04944073e-03 3.13450158e-01 1.14593124e-04
 3.50475748e-04 8.09719041e-03 2.69824825e-02]","[0.009291228838264942, 0.02540132775902748, 0.9653074741363525]"
287.png,"[4.9706036e-01 4.9654051e-07 3.5800312e-03 4.7347784e-01 2.5274733e-02
 9.1499696e-06 5.9737393e-04]","[0.0139950355514884, 0.9836282730102539, 0.0023767531383782625]"
288.png,"[5.1614814e-03 1.5201248e-03 8.4361643e-02 3.1571412e-01 5.8728600e-01
 5.6729121e-03 2.8377716e-04]","[0.0008434162591584027, 0.0032759204041212797, 0.9958807229995728]"
289.png,"[9.1376802e-05 2.4341625e-07 3.1129865e-04 8.6842185e-01 1.3096258e-01
 1.9506358e-04 1.7641642e-05]","[0.01079642865806818, 0.9886624217033386, 0.0005410996964201331]"
290.png,"[0.5883517  0.00298559 0.09180034 0.0123386  0.01111461 0.06145635
 0.23195273]","[0.32999542355537415, 0.4387953281402588, 0.23120923340320587]"
291.png,"[8.2650529e-03 4.7198165e-04 4.9329150e-02 6.1561733e-01 2.6605779e-01
 3.9272487e-02 2.0986289e-02]","[0.9437292218208313, 0.051520902663469315, 0.00474990950897336]"
292.png,"[1.4892864e-01 4.6237209e-04 6.4454693e-01 2.1502882e-02 1.1041204e-01
 5.7118811e-02 1.7028304e-02]","[0.07206510007381439, 0.7149983644485474, 0.21293649077415466]"
293.png,"[9.1937029e-01 7.7313693e-05 4.6353880e-02 1.6825656e-04 1.4610503e-04
 6.5599196e-03 2.7324213e-02]","[0.9817476868629456, 0.007344025187194347, 0.010908223688602448]"
294.png,"[1.0558249e-03 1.2942101e-06 7.6020107e-04 6.6847652e-01 3.2933158e-01
 1.9763182e-04 1.7694694e-04]","[0.03277289494872093, 0.9631534218788147, 0.004073707386851311]"
295.png,"[2.6531211e-06 9.9984115e-01 8.9667570e-05 1.3924579e-05 2.8916696e-05
 1.7434772e-05 6.2078384e-06]","[0.000979292788542807, 0.19141258299350739, 0.8076081275939941]"
296.png,"[9.948239e-01 8.212452e-06 7.423990e-04 3.938124e-06 9.615197e-06
 3.907847e-05 4.372850e-03]","[0.001993336947634816, 0.8751637935638428, 0.12284273654222488]"
297.png,"[1.81859732e-01 8.05932432e-05 6.43443406e-01 6.70639973e-04
 6.00781990e-04 6.59162477e-02 1.07428655e-01]","[0.9947184324264526, 0.0004920485662296414, 0.004789421800523996]"
298.png,"[9.6008694e-01 4.8467296e-05 4.5502372e-03 2.9748415e-03 3.9686309e-04
 5.3162319e-05 3.1889439e-02]","[0.46191319823265076, 0.12054655700922012, 0.4175402820110321]"
299.png,"[9.9087793e-01 2.1915805e-06 2.7898387e-03 8.2806911e-04 1.4767149e-03
 8.9718262e-05 3.9356286e-03]","[0.07475070655345917, 0.8721136450767517, 0.05313566327095032]"
300.png,"[6.20268703e-01 1.50962435e-02 3.06308955e-01 3.49467300e-05
 1.55048416e-04 3.68997604e-02 2.12363862e-02]","[0.016233446076512337, 0.010383610613644123, 0.9733828902244568]"
301.png,"[9.1719878e-01 5.6853460e-06 3.4003701e-02 8.4100215e-04 1.0402600e-03
 7.6008053e-04 4.6150576e-02]","[0.02311662584543228, 0.08631522208452225, 0.890568196773529]"
302.png,"[0.04181814 0.02347169 0.7049149  0.00765989 0.08229846 0.13851105
 0.0013259 ]","[0.9999954700469971, 3.729162187937618e-07, 4.140689270570874e-06]"
303.png,"[9.1664976e-01 3.4470857e-05 1.3020499e-02 4.7745202e-03 8.5270643e-04
 1.5015951e-04 6.4517878e-02]","[0.9899673461914062, 9.853363735601306e-06, 0.010022860020399094]"
304.png,"[3.2407444e-02 3.0519061e-07 5.7715987e-04 9.0125483e-01 6.5593608e-02
 9.6475023e-06 1.5701355e-04]","[0.0572471059858799, 0.9336775541305542, 0.009075332432985306]"
305.png,"[9.9635613e-01 6.1186606e-06 1.1245040e-03 7.4997562e-04 1.0123324e-03
 4.5419758e-05 7.0545281e-04]","[0.8689476847648621, 0.13034173846244812, 0.0007105612894520164]"
306.png,"[0.7006234  0.01833144 0.10705452 0.05065396 0.01338053 0.0100203
 0.09993573]","[0.9999997615814209, 2.2144939215706927e-09, 2.512971377655049e-07]"
307.png,"[9.9728155e-01 1.4931927e-06 5.5998063e-04 3.0820150e-04 1.8178142e-04
 1.7930182e-05 1.6490127e-03]","[0.9968340992927551, 2.383923174420488e-06, 0.003163581481203437]"
308.png,"[6.3459724e-01 1.7125883e-04 1.6277300e-01 1.1400650e-01 4.6313837e-02
 1.1035039e-02 3.1103188e-02]","[0.00030013389186933637, 0.9909398555755615, 0.00876004621386528]"
309.png,"[0.13271078 0.00176305 0.6247924  0.00098141 0.00484332 0.03293722
 0.20197177]","[0.980286180973053, 7.5338498390919995e-06, 0.019706372171640396]"
310.png,"[4.8655745e-01 6.4461833e-06 7.8331670e-03 4.3597201e-01 6.3731484e-02
 3.7119281e-04 5.5281869e-03]","[9.79632113740081e-06, 0.0008102006395347416, 0.999180018901825]"
311.png,"[0.14285714 0.14285714 0.14285714 0.14285714 0.14285714 0.14285714
 0.14285714]","[0.0001722472079563886, 0.9998277425765991, 2.7944484060071773e-08]"
312.png,"[0.14285714 0.14285714 0.14285714 0.14285714 0.14285714 0.14285714
 0.14285714]","[0.9999734163284302, 1.6288597180391662e-05, 1.025486290018307e-05]"
313.png,"[9.3429488e-01 5.7921046e-05 2.5302146e-02 4.5347423e-03 7.8906002e-04
 2.1665810e-04 3.4804530e-02]","[0.9584439396858215, 0.0003641422954387963, 0.04119198024272919]"
314.png,"[0.1940323  0.00156205 0.1548041  0.02550369 0.11221604 0.05224906
 0.45963278]","[0.6063165068626404, 0.00255779386498034, 0.3911256790161133]"
315.png,"[0.6203342  0.00149393 0.25718427 0.00255308 0.00462181 0.0022898
 0.11152302]","[0.9998162388801575, 0.00018157812883146107, 2.300139612998464e-06]"
316.png,"[9.1890132e-01 4.8107991e-04 2.1282330e-02 3.1546626e-02 2.0787980e-02
 2.0647336e-04 6.7941952e-03]","[0.00019729264022316784, 0.9800508618354797, 0.01975177228450775]"
317.png,"[8.7006354e-01 2.0220090e-04 8.8572815e-02 2.4915219e-04 4.5843842e-04
 3.6566658e-04 4.0088162e-02]","[0.05215644836425781, 0.5591182708740234, 0.38872531056404114]"
318.png,"[0.13636167 0.00438837 0.24174683 0.07614114 0.15192504 0.2671365
 0.12230035]","[0.05754789710044861, 0.9173710942268372, 0.025081131607294083]"
319.png,"[0.19733422 0.00199749 0.59882504 0.00712874 0.03783515 0.04866939
 0.10821005]","[0.13291849195957184, 0.8324717283248901, 0.034609727561473846]"
320.png,"[8.4369677e-01 1.0681244e-04 5.3803101e-02 1.0483618e-02 3.0015472e-02
 5.6426640e-04 6.1329953e-02]","[0.26655369997024536, 0.6882039904594421, 0.04524225741624832]"
321.png,"[9.2727262e-01 2.5682191e-06 3.2855505e-03 1.1457059e-04 8.5701991e-05
 1.1188639e-03 6.8120226e-02]","[0.03696880489587784, 0.34829476475715637, 0.6147363781929016]"
322.png,"[6.6075504e-01 2.1353864e-05 1.8697064e-02 2.5534770e-01 5.2053928e-02
 6.0343684e-04 1.2521483e-02]","[0.09128113090991974, 0.8347460031509399, 0.07397287338972092]"
323.png,"[3.1009436e-04 1.2311119e-06 7.2829146e-04 8.8066596e-01 1.1761304e-01
 6.1569171e-04 6.5641114e-05]","[0.9999576807022095, 7.843633520465687e-10, 4.2352334276074544e-05]"
324.png,"[0.03422471 0.03320069 0.61228937 0.00604157 0.165699   0.14366165
 0.00488297]","[0.9998001456260681, 0.00014394566824194044, 5.5904965847730637e-05]"
325.png,"[0.03319326 0.01074766 0.86756325 0.00140629 0.0059169  0.06824709
 0.01292559]","[0.2076733261346817, 0.04504477605223656, 0.7472819089889526]"
326.png,"[0.0455042  0.00629254 0.312928   0.2907977  0.3093954  0.03326304
 0.00181904]","[0.037272121757268906, 0.9311404228210449, 0.031587474048137665]"
327.png,"[9.4359094e-01 1.2132937e-05 4.7541101e-02 1.2156866e-04 4.0294186e-04
 4.5782697e-05 8.2856109e-03]","[0.00017901875253301114, 0.4037511348724365, 0.5960697531700134]"
328.png,"[5.4306001e-03 2.0891526e-05 2.9906761e-03 7.5968426e-01 2.3149073e-01
 3.4208913e-04 4.0733466e-05]","[0.418866902589798, 0.00028772937366738915, 0.5808453559875488]"
329.png,"[9.74276103e-03 1.63421006e-04 1.15495406e-01 2.04572978e-04
 1.15618564e-03 8.14776659e-01 5.84609844e-02]","[0.014026503078639507, 0.9857914447784424, 0.00018206365348305553]"
330.png,"[2.2035302e-04 9.6441424e-01 3.2411337e-02 5.8238689e-05 2.2253841e-03
 6.5812177e-04 1.2373955e-05]","[0.8611882925033569, 0.1376553326845169, 0.001156421611085534]"
331.png,"[9.9470425e-01 2.0554938e-04 3.3120478e-03 6.8917419e-05 4.7647911e-05
 4.5868990e-05 1.6156519e-03]","[0.23643161356449127, 0.44980722665786743, 0.3137611746788025]"
332.png,"[7.3230558e-04 8.8967013e-01 8.0983780e-02 2.9557939e-03 1.0849156e-02
 1.4501485e-02 3.0738325e-04]","[0.9999933242797852, 5.039846655563451e-07, 6.147494787001051e-06]"
333.png,"[0.00104814 0.84935075 0.02436464 0.03954623 0.05648172 0.02577519
 0.0034333 ]","[0.2502586245536804, 0.7497337460517883, 7.655828085262328e-06]"
334.png,"[0.07946769 0.00351064 0.48431152 0.05125513 0.02707397 0.31996134
 0.03441969]","[0.004022639710456133, 0.36965081095695496, 0.6263265609741211]"
335.png,"[9.9280006e-01 3.2870773e-06 6.1067764e-04 1.8906968e-06 3.9245779e-06
 9.0577623e-06 6.5711648e-03]","[0.038343869149684906, 0.9596990942955017, 0.0019570260774344206]"
336.png,"[3.5576364e-01 4.4103228e-05 2.4880806e-03 2.6528361e-01 7.2504818e-02
 5.9141795e-04 3.0332431e-01]","[0.9995143413543701, 5.062014679424465e-06, 0.0004806788929272443]"
337.png,"[1.28734857e-03 1.21246912e-01 1.06911855e-02 8.43770728e-02
 7.72285879e-01 9.96707752e-03 1.44493475e-04]","[0.002563770627602935, 0.8145642280578613, 0.18287207186222076]"
338.png,"[0.42873552 0.0008596  0.02578831 0.22120555 0.32085878 0.00097494
 0.00157728]","[0.061889197677373886, 0.9368952512741089, 0.0012154534924775362]"
339.png,"[3.2316628e-05 6.2335689e-06 3.8129676e-04 8.8241250e-06 4.7941638e-05
 9.9950743e-01 1.5937407e-05]","[0.9994916915893555, 0.0005078379181213677, 4.916876150673488e-07]"
340.png,"[8.7754256e-01 2.5260064e-04 6.6692993e-02 2.8359534e-02 2.2345414e-02
 1.4129911e-03 3.3939432e-03]","[0.0007071095169521868, 0.0008557445835322142, 0.9984371066093445]"
341.png,"[3.0328846e-01 4.4230815e-06 2.5027281e-02 7.2641305e-05 5.2923147e-05
 1.3670115e-02 6.5788412e-01]","[0.9641367793083191, 0.003303538542240858, 0.03255966305732727]"
342.png,"[4.1544107e-03 7.1637996e-04 1.2341753e-02 8.9940917e-01 8.2602113e-02
 1.3687494e-04 6.3935458e-04]","[0.40983185172080994, 0.5898405313491821, 0.00032767243101261556]"
343.png,"[1.6670076e-05 9.9542177e-01 1.6561166e-03 7.0366923e-06 1.6230224e-04
 2.7339014e-03 2.1167893e-06]","[0.02998160570859909, 0.8205736875534058, 0.14944472908973694]"
344.png,"[1.6708486e-02 1.3135984e-03 1.6350161e-01 2.7773055e-04 1.3468922e-03
 8.1319624e-01 3.6555319e-03]","[0.9999814033508301, 8.505362529831473e-06, 1.0170377208851278e-05]"
345.png,"[1.3088728e-03 2.1424978e-06 3.0070778e-03 7.9719174e-01 1.9840246e-01
 3.9484366e-05 4.8057344e-05]","[0.9967297315597534, 0.0025527901016175747, 0.0007174427737481892]"
346.png,"[0.04452967 0.00787838 0.04744694 0.7381332  0.13020425 0.00168226
 0.03012531]","[0.18893158435821533, 0.6935197710990906, 0.1175486221909523]"
347.png,"[6.2388420e-01 6.6376313e-05 6.0691066e-02 1.9876644e-02 5.6245080e-03
 2.7276257e-03 2.8712964e-01]","[0.9991748929023743, 2.4941064769024024e-09, 0.0008250491227954626]"
348.png,"[9.8245579e-01 3.5789271e-05 2.0055322e-03 2.8896164e-03 1.3193991e-03
 1.2959278e-04 1.1164264e-02]","[0.013554875738918781, 0.9863437414169312, 0.00010138407378690317]"
349.png,"[3.0328846e-01 4.4230815e-06 2.5027281e-02 7.2641305e-05 5.2923147e-05
 1.3670115e-02 6.5788412e-01]","[0.9641367793083191, 0.003303538542240858, 0.03255966305732727]"
350.png,"[3.0121596e-03 3.6515913e-04 3.4906577e-02 5.1873386e-01 4.2651302e-01
 1.6138170e-02 3.3111210e-04]","[0.0014236829010769725, 0.8861132264137268, 0.11246303468942642]"
351.png,"[7.9458565e-01 6.7043170e-06 1.0796130e-02 5.7974078e-02 9.0183802e-03
 4.7822500e-04 1.2714082e-01]","[0.9150140285491943, 0.033221423625946045, 0.05176462233066559]"
352.png,"[3.2467831e-02 1.8042592e-05 1.3256076e-01 1.4744603e-04 6.7652197e-04
 7.9154891e-01 4.2580452e-02]","[0.16583207249641418, 0.0015516751445829868, 0.8326162695884705]"
353.png,"[1.8895186e-03 9.3909246e-01 3.2031305e-02 2.8295344e-04 1.3681216e-03
 2.4164453e-02 1.1712549e-03]","[0.030385086312890053, 0.5377047657966614, 0.4319102168083191]"
354.png,"[0.10947821 0.06050851 0.22708425 0.00825908 0.0090294  0.5381104
 0.0475301 ]","[0.6842877268791199, 0.004222342744469643, 0.311489999294281]"
355.png,"[6.6809875e-01 1.0617847e-02 2.9329401e-01 1.6417792e-04 2.0520773e-04
 1.6802255e-03 2.5939815e-02]","[0.06743614375591278, 0.8702448010444641, 0.06231899932026863]"
356.png,"[9.8372513e-01 4.2424008e-06 1.0323295e-03 5.8700383e-04 1.7358134e-04
 3.4289991e-05 1.4443414e-02]","[0.005525017157196999, 0.936491847038269, 0.05798310786485672]"
357.png,"[0.04122578 0.0030485  0.61789805 0.00519383 0.01022147 0.1228979
 0.19951446]","[0.9887495040893555, 0.01120205968618393, 4.843631904805079e-05]"
358.png,"[1.2629060e-01 8.1031123e-04 6.5633990e-02 1.6660719e-05 2.5283760e-05
 1.0639587e-02 7.9658359e-01]","[0.007797172758728266, 0.0014454674674198031, 0.990757405757904]"
359.png,"[9.71979976e-01 3.20188678e-06 1.03320405e-02 1.23524005e-02
 2.29053409e-03 8.36186227e-05 2.95828772e-03]","[0.004083787556737661, 0.0431038923561573, 0.9528123140335083]"
360.png,"[9.9580866e-01 5.6629983e-06 2.8024288e-04 1.8974393e-05 2.0113046e-05
 4.2275315e-06 3.8621102e-03]","[0.9998922348022461, 3.125402145087719e-05, 7.654413639102131e-05]"
361.png,"[2.6147884e-01 2.6665503e-04 2.3856457e-01 1.2958058e-03 1.7282065e-03
 3.8584400e-02 4.5808160e-01]","[0.9996172189712524, 2.3526613546209774e-08, 0.0003827292821370065]"
362.png,"[0.14285714 0.14285714 0.14285714 0.14285714 0.14285714 0.14285714
 0.14285714]","[0.24642567336559296, 0.7518978118896484, 0.0016764744650572538]"
363.png,"[9.9999678e-01 2.2168516e-09 1.0029904e-06 6.4943151e-07 7.5263222e-07
 2.7073687e-08 6.7814233e-07]","[0.16884884238243103, 0.8123774528503418, 0.018773658201098442]"
364.png,"[1.7089006e-01 5.5026849e-05 6.1454844e-02 1.5300369e-01 3.0869493e-02
 5.7826299e-02 5.2590054e-01]","[4.488901140575763e-06, 7.897921899813198e-12, 0.9999954700469971]"
365.png,"[9.8941512e-02 7.0229650e-04 7.4824488e-01 2.3280749e-02 2.6625723e-02
 4.1357078e-02 6.0847767e-02]","[0.911689281463623, 0.07768356800079346, 0.010627089068293571]"
366.png,"[9.7923011e-01 2.5080104e-05 1.5428552e-02 6.1536417e-04 9.2523801e-04
 1.0536899e-03 2.7220207e-03]","[0.025632211938500404, 0.28457072377204895, 0.6897971034049988]"
367.png,"[5.62903937e-03 6.12710380e-07 5.05215896e-04 9.17120695e-01
 7.66211301e-02 2.09389927e-05 1.02319624e-04]","[0.9529525637626648, 0.011984775774180889, 0.03506261482834816]"
368.png,"[4.15123880e-01 1.83056167e-04 8.43465105e-02 2.06753216e-03
 3.29373730e-03 1.00402795e-02 4.84944999e-01]","[0.031056810170412064, 0.022713782265782356, 0.9462294578552246]"
369.png,"[0.03555996 0.00142163 0.02214298 0.44558397 0.49349636 0.00062004
 0.00117504]","[0.9505405426025391, 0.0008189690415747464, 0.04864048957824707]"
370.png,"[1.2079295e-02 3.3243359e-03 6.2929980e-02 3.7068197e-01 5.4665744e-01
 3.9471574e-03 3.7978319e-04]","[0.043960168957710266, 0.802621066570282, 0.15341879427433014]"
371.png,"[6.01073056e-02 1.03866776e-04 4.63504642e-01 2.37648860e-01
 2.00531512e-01 3.28446478e-02 5.25913248e-03]","[2.33012942771893e-05, 3.0037186661502346e-05, 0.9999467134475708]"
372.png,"[1.9824477e-04 1.2083481e-07 4.7576139e-04 6.8808371e-01 3.1113786e-01
 9.6750016e-05 7.6247993e-06]","[0.30435383319854736, 7.80919418019721e-09, 0.6956461668014526]"
373.png,"[3.4952443e-02 3.3487593e-06 7.4378902e-04 7.5918829e-01 2.0475966e-01
 5.1401421e-05 3.0112712e-04]","[0.0017916265642270446, 0.9844788908958435, 0.013729438185691833]"
374.png,"[0.07977196 0.00611812 0.7532979  0.00206094 0.00402697 0.03318033
 0.12154392]","[0.03445876017212868, 0.9653038382530212, 0.00023740390315651894]"
375.png,"[3.8621863e-03 1.3674388e-05 3.2442130e-02 8.1736118e-01 1.2810373e-01
 1.7600723e-02 6.1632687e-04]","[0.00022419451852329075, 0.007311277557164431, 0.992464542388916]"
376.png,"[0.14285714 0.14285714 0.14285714 0.14285714 0.14285714 0.14285714
 0.14285714]","[0.9990014433860779, 0.00014014127373229712, 0.0008584464667364955]"
377.png,"[0.20088178 0.00546896 0.6336785  0.00689176 0.01800587 0.00742984
 0.12764326]","[0.6530653834342957, 0.0012111351825296879, 0.3457235097885132]"
378.png,"[0.0266576  0.47294867 0.29049787 0.01269367 0.12626205 0.04033723
 0.03060289]","[0.9999393224716187, 6.050570300430991e-05, 1.0879278988795704e-07]"
379.png,"[0.5883517  0.00298559 0.09180034 0.0123386  0.01111461 0.06145635
 0.23195273]","[0.32999542355537415, 0.4387953281402588, 0.23120923340320587]"
380.png,"[0.03800493 0.05124842 0.27584678 0.00335043 0.01104795 0.07244425
 0.54805726]","[3.3610950822549057e-07, 1.3767671898368139e-11, 0.9999996423721313]"
381.png,"[2.6840007e-02 1.9105566e-04 9.8940156e-02 4.5013383e-01 4.1686317e-01
 3.9219540e-03 3.1098770e-03]","[0.3805748522281647, 5.584610462960882e-08, 0.6194251179695129]"
382.png,"[0.33429626 0.01542308 0.3833703  0.17277126 0.07186509 0.00050458
 0.02176943]","[5.655253698932938e-05, 3.2425781682832167e-05, 0.9999110698699951]"
383.png,"[1.1295897e-04 9.6364963e-01 2.2270894e-02 4.2616306e-05 3.1585485e-04
 1.3317768e-02 2.9031732e-04]","[0.530406653881073, 0.29398104548454285, 0.17561236023902893]"
384.png,"[8.0115005e-02 9.9507133e-07 2.8232411e-03 8.6611098e-01 5.0791133e-02
 1.2346623e-05 1.4627862e-04]","[0.003902234137058258, 0.9903890490531921, 0.005708746612071991]"
385.png,"[4.0483120e-01 5.4400505e-05 9.8857237e-03 5.3874747e-04 5.1162206e-04
 1.7095139e-02 5.6708324e-01]","[0.5401644706726074, 0.3838617503643036, 0.07597381621599197]"
386.png,"[9.9642235e-01 1.3209404e-05 1.4775521e-03 8.7009714e-04 1.4958260e-04
 9.1380207e-06 1.0579763e-03]","[0.0949554443359375, 0.904690146446228, 0.0003543506609275937]"
387.png,"[6.2669023e-06 9.9891245e-01 8.7082153e-04 2.3105654e-06 3.4388635e-05
 1.7101497e-04 2.5970767e-06]","[0.00034829051583074033, 0.003308701328933239, 0.9963429570198059]"
388.png,"[8.84351075e-01 1.15430084e-04 9.30718333e-03 5.32205682e-04
 5.21001639e-04 1.74431328e-03 1.03428811e-01]","[0.0035831118002533913, 0.9817357659339905, 0.01468112226575613]"
389.png,"[1.0968971e-03 1.8182645e-06 1.3897843e-03 7.6303530e-01 2.3421492e-01
 1.3108939e-04 1.3016995e-04]","[0.9956734776496887, 4.2283721995772794e-05, 0.004284192342311144]"
390.png,"[0.02799973 0.00156969 0.01971252 0.8204054  0.12473931 0.00127098
 0.00430237]","[0.009453091770410538, 0.9899837970733643, 0.0005629989900626242]"
391.png,"[5.0780118e-01 1.8362771e-05 5.1575541e-03 3.0047409e-04 8.2958890e-05
 3.6119927e-05 4.8660335e-01]","[0.7637566328048706, 0.0368749275803566, 0.1993684321641922]"
392.png,"[0.48855633 0.05318518 0.34670922 0.01243312 0.02504416 0.02854811
 0.04552382]","[0.9999997615814209, 1.4819032223556405e-08, 1.799933073698412e-07]"
393.png,"[1.9930594e-04 2.9292453e-06 3.3701767e-04 9.1556096e-01 8.3831146e-02
 4.0341136e-05 2.8276569e-05]","[0.9464397430419922, 0.05286496877670288, 0.0006952707190066576]"
394.png,"[4.2911291e-01 1.5182478e-05 1.0972731e-01 3.1682402e-01 1.3387842e-01
 4.9188929e-03 5.5232486e-03]","[0.000910783710423857, 0.4284515976905823, 0.570637583732605]"
395.png,"[0.64392257 0.00453046 0.16333933 0.07584669 0.02995358 0.04114998
 0.04125741]","[0.8804424405097961, 0.08109878748655319, 0.03845887631177902]"
396.png,"[1.6997291e-01 1.7810277e-04 6.0184345e-02 5.8758050e-01 1.7318647e-01
 4.9175890e-03 3.9801742e-03]","[0.15041498839855194, 0.15529997646808624, 0.6942850947380066]"
397.png,"[0.1739023  0.00670498 0.41909295 0.00059857 0.00153231 0.11066938
 0.28749946]","[0.02553744986653328, 0.18174248933792114, 0.7927200794219971]"
398.png,"[0.48469245 0.00332599 0.13611487 0.24668846 0.04049294 0.00128619
 0.08739911]","[0.7333829998970032, 0.20169700682163239, 0.06491996347904205]"
399.png,"[0.20175877 0.00155913 0.46716058 0.04034723 0.13349703 0.01852071
 0.1371565 ]","[0.9834235906600952, 0.000883606553543359, 0.015692876651883125]"
400.png,"[7.1361996e-03 9.0657407e-01 8.0469400e-02 2.0275496e-04 4.3759597e-04
 4.0692529e-03 1.1107816e-03]","[0.21743157505989075, 0.13044679164886475, 0.6521216034889221]"
401.png,"[8.1642067e-01 7.3906318e-05 5.3251468e-02 1.9367463e-03 1.2723521e-03
 8.9849759e-04 1.2614641e-01]","[0.9998311996459961, 5.715266524930485e-06, 0.00016305963799823076]"
402.png,"[3.1747654e-01 7.0122362e-05 2.5013059e-02 3.4272388e-01 1.6669956e-01
 1.0591039e-02 1.3742584e-01]","[0.00782764982432127, 0.5281950831413269, 0.4639773368835449]"
403.png,"[9.9289614e-01 9.5199219e-08 2.0220617e-04 4.3903303e-04 1.1412295e-04
 5.1518728e-06 6.3432963e-03]","[0.0011366329854354262, 0.8416815400123596, 0.15718185901641846]"
404.png,"[0.1103892  0.00328809 0.3731753  0.03004007 0.01029781 0.08623166
 0.3865779 ]","[0.9999845027923584, 2.9219197017482657e-07, 1.5248019735736307e-05]"
405.png,"[9.9095410e-01 6.8666559e-05 4.9844198e-03 2.1345356e-04 9.1836228e-05
 6.0795628e-06 3.6813309e-03]","[0.0004986883141100407, 0.7110227346420288, 0.2884786128997803]"
406.png,"[0.35404417 0.00048381 0.16245681 0.10944551 0.01328519 0.03266179
 0.32762265]","[0.9816226959228516, 5.799305654363707e-05, 0.018319208174943924]"
407.png,"[0.0166231  0.00490393 0.05434257 0.42444357 0.49682793 0.00171023
 0.00114862]","[0.004529901780188084, 0.07583797723054886, 0.919632077217102]"
408.png,"[0.02087151 0.00344557 0.31338483 0.0367032  0.12870884 0.48392728
 0.01295879]","[0.9999998807907104, 1.184332688343448e-12, 6.5252457659426e-08]"
409.png,"[9.5437509e-01 1.7035296e-05 4.4232658e-03 1.2245908e-04 7.4833770e-05
 8.2282859e-05 4.0904995e-02]","[0.9297704100608826, 0.055154766887426376, 0.015074861235916615]"
410.png,"[0.5194079  0.00195899 0.383681   0.00169855 0.0014915  0.01273207
 0.07902995]","[0.03558199107646942, 0.1643606275320053, 0.8000573515892029]"
411.png,"[0.00500944 0.0281087  0.38138503 0.00800851 0.12341771 0.45226774
 0.00180289]","[0.018529413267970085, 0.9537615776062012, 0.027708906680345535]"
412.png,"[0.05200388 0.00248464 0.72885007 0.01603646 0.06049749 0.09171391
 0.04841358]","[0.9938481450080872, 7.963737152749673e-05, 0.006072224583476782]"
413.png,"[9.90448415e-01 4.89277591e-04 6.60790736e-03 1.20850695e-04
 4.24682221e-04 9.78434924e-04 9.30408249e-04]","[0.8025572299957275, 1.3570638657256495e-05, 0.19742923974990845]"
414.png,"[0.14285714 0.14285714 0.14285714 0.14285714 0.14285714 0.14285714
 0.14285714]","[0.9999265670776367, 7.229140464914963e-05, 1.1643437574093696e-06]"
415.png,"[0.66939574 0.02376488 0.15867567 0.03354692 0.03012599 0.00507137
 0.07941933]","[0.9987502098083496, 5.110006782160781e-07, 0.0012492433888837695]"
416.png,"[0.2758158  0.00235317 0.31859294 0.02835163 0.02277149 0.02507844
 0.32703644]","[0.6502397060394287, 0.047582510858774185, 0.3021777868270874]"
417.png,"[4.6330414e-04 9.0471941e-01 2.4453627e-02 9.5301640e-04 5.4737595e-03
 6.3416846e-02 5.1997509e-04]","[0.05956503003835678, 0.9397802352905273, 0.0006547269294969738]"
418.png,"[3.32513708e-04 6.12545534e-07 7.03430793e-04 8.81178200e-01
 1.17641956e-01 1.11044050e-04 3.23065906e-05]","[0.0005312112625688314, 0.12276024371385574, 0.8767085671424866]"
419.png,"[8.8211684e-04 9.1356272e-01 6.5315574e-02 5.1129013e-03 1.2069187e-02
 1.9531897e-03 1.1042639e-03]","[0.004797084257006645, 0.883600115776062, 0.11160275340080261]"
420.png,"[2.59815872e-01 3.48998437e-04 1.05973154e-01 1.55539960e-01
 1.68964211e-02 4.68618702e-03 4.56739455e-01]","[0.4164404273033142, 0.4546756148338318, 0.12888392806053162]"
421.png,"[8.9871315e-03 7.1147230e-04 3.4796990e-02 1.6031319e-01 7.5697142e-01
 3.6355101e-02 1.8646528e-03]","[0.1937524825334549, 0.6057244539260864, 0.20052306354045868]"
422.png,"[6.7509762e-03 1.4664097e-04 1.9757045e-02 4.5375764e-01 4.6161685e-02
 4.4302949e-01 3.0396506e-02]","[0.9342358112335205, 8.189229993149638e-05, 0.0656823143362999]"
423.png,"[9.9995917e-01 2.1844540e-09 2.6774109e-07 5.2560408e-06 8.5118768e-07
 1.1018763e-08 3.4455632e-05]","[0.832435667514801, 0.14328689873218536, 0.024277498945593834]"
424.png,"[9.9602687e-01 3.7087611e-06 1.8411961e-03 2.8677465e-04 3.2439007e-04
 2.6725131e-05 1.4903474e-03]","[0.999991774559021, 4.7579270384678907e-11, 8.271067599707749e-06]"
425.png,"[0.00523646 0.0049247  0.43958062 0.04472744 0.46953204 0.03494484
 0.0010539 ]","[0.010913468897342682, 0.1473715752363205, 0.8417149782180786]"
426.png,"[0.14285714 0.14285714 0.14285714 0.14285714 0.14285714 0.14285714
 0.14285714]","[0.0001235044765053317, 0.9998704195022583, 6.087799647502834e-06]"
