image,race_scores,obese_scores
44.png,"[9.1890132e-01 4.8107991e-04 2.1282330e-02 3.1546626e-02 2.0787980e-02
 2.0647336e-04 6.7941952e-03]","[0.00019729264022316784, 0.9800508618354797, 0.01975177228450775]"
45.png,"[9.8843050e-01 1.8934363e-05 1.0627405e-03 7.5587118e-06 3.6480276e-05
 9.8182943e-05 1.0345684e-02]","[0.999963641166687, 3.4413466210025945e-07, 3.60117010131944e-05]"
46.png,"[2.7457045e-02 6.6092514e-05 1.2001316e-01 5.2471364e-01 2.7855164e-01
 3.3330407e-02 1.5868032e-02]","[4.1903647797880694e-05, 0.00024358491646125913, 0.9997144341468811]"
47.png,"[0.6198347  0.00113202 0.03244444 0.00077342 0.0010007  0.00288162
 0.34193313]","[0.048140838742256165, 0.9383665919303894, 0.013492588885128498]"
48.png,"[9.8245579e-01 3.5789271e-05 2.0055322e-03 2.8896164e-03 1.3193991e-03
 1.2959278e-04 1.1164264e-02]","[0.013554875738918781, 0.9863437414169312, 0.00010138407378690317]"
49.png,"[9.2042112e-01 2.3227396e-06 1.5178165e-02 4.0372409e-02 2.2535814e-02
 8.6645305e-05 1.4034378e-03]","[0.0021360618993639946, 0.12552860379219055, 0.8723352551460266]"
50.png,"[1.1350785e-03 8.0474227e-04 4.7803223e-02 3.0213632e-04 3.0691195e-03
 9.4555318e-01 1.3324721e-03]","[0.0035943540278822184, 0.9038925170898438, 0.0925130695104599]"
51.png,"[4.4669622e-01 5.9588544e-02 4.4666150e-01 5.1901367e-05 8.2340772e-04
 1.2742399e-02 3.3435956e-02]","[0.02263365127146244, 0.9772840738296509, 8.227452781284228e-05]"
52.png,"[9.1664976e-01 3.4470857e-05 1.3020499e-02 4.7745202e-03 8.5270643e-04
 1.5015951e-04 6.4517878e-02]","[0.9899673461914062, 9.853363735601306e-06, 0.010022860020399094]"
53.png,"[9.8941512e-02 7.0229650e-04 7.4824488e-01 2.3280749e-02 2.6625723e-02
 4.1357078e-02 6.0847767e-02]","[0.911689281463623, 0.07768356800079346, 0.010627089068293571]"
54.png,"[0.14285714 0.14285714 0.14285714 0.14285714 0.14285714 0.14285714
 0.14285714]","[0.28425920009613037, 0.7145440578460693, 0.0011967221507802606]"
